lon,lat,xp,yp,Product,Yld Vol(Dry)(bu/ac),Count,Year,G,R,NIR,SIR1,SIR2,TIR1,TIR2,NDVI,NDWI2,NDWI1
-,-,-,-,['CORN'],21662.889999999992,84,2017,8558,8488,15742,12975,9167,28790,25954,0.29938093272802313,0.2956378600823045,0.2639608173752459
-,-,-,-,['CORN'],17737.31000000001,104,2017,9473,9992,18411,15556,10643,30118,26811,0.29641235080801326,0.3205422464495768,0.26736421835203417
-,-,-,-,['CORN'],15353.550000000005,76,2017,9230,10101,16338,15963,11139,29998,26685,0.23590150913423352,0.2780037546933667,0.18921279615678568
-,-,-,-,['CORN'],17527.810000000005,76,2017,8311,7979,15970,12599,8797,28726,25865,0.3336673765084137,0.31543181911782875,0.28961925142326483
-,-,-,-,['SOYBEANS'],4086.0999999999995,51,2017,9081,9803,15929,16703,11881,30331,26974,0.23806933001709935,0.27381047580967616,0.1455591513843941
-,-,-,-,['SOYBEANS'],2894.849999999999,43,2017,8991,7955,22635,11900,8073,29186,26113,0.4798953906505394,0.43141718838929993,0.4742086752637749
-,-,-,-,['SOYBEANS'],4063.199999999999,46,2017,8263,8539,12802,13639,10139,29227,26295,0.19975633756618716,0.21547590790410634,0.11608038010548799
-,-,-,-,['SOYBEANS'],4713.0199999999995,57,2017,8415,8613,13552,14052,10171,28879,25919,0.2228287841191067,0.23385077616424638,0.14251991737975805
-,-,-,-,['SOYBEANS'],4038.3500000000004,49,2017,8653,8185,17378,13024,8999,29343,26321,0.3596213277001917,0.3351772886174177,0.3176631155931304
-,-,-,-,['SOYBEANS'],3717,48,2017,9351,9666,17141,17561,11922,29668,26657,0.2788450777781923,0.29405103427449797,0.17957540515431994
-,-,-,-,['CORN'],28228.94,111,2017,8808,8350,19127,13117,8831,28879,25902,0.3922189467554682,0.36939323429389653,0.36826668574290006
-,-,-,-,['SOYBEANS'],3309.699999999999,47,2017,8821,8943,16965,14086,9724,29976,26720,0.309634089856415,0.31583029550919106,0.27131027764247445
-,-,-,-,['SOYBEANS'],1205.1,15,2017,9056,8238,22282,11788,7984,29100,26089,0.4601572739187418,0.42204352543238244,0.4724112865922157
-,-,-,-,['CORN'],21797.550000000003,91,2017,8685,9364,14196,15087,11118,28507,25786,0.20509337860780985,0.24085485774223156,0.12159279450106661
-,-,-,-,['CORN'],22366.199999999997,87,2017,8548,8895,14979,13885,9921,28566,25824,0.25483789896959036,0.27334551791558637,0.20313253012048194
-,-,-,-,['SOYBEANS'],4664.660000000001,56,2017,8343,8470,13622,13205,9657,29158,26120,0.2332065906210393,0.2403368996130207,0.1703251857897676
