lon,lat,xp,yp,Product,Yld Vol(Dry)(bu/ac),Count,Year,G,R,NIR,SIR1,SIR2,TIR1,TIR2,NDVI,NDWI2,NDWI1
-,-,-,-,['SOYBEANS'],3621.120000000001,66,2016,8172,7616,15085,12484,8885,27210,24891,0.3290163428923836,0.2972438405641312,0.2586566541510221
-,-,-,-,['SOYBEANS'],4923.299999999999,77,2016,7868,7843,11501,12454,9468,27315,24997,0.1891025641025641,0.1875677629201301,0.09695264437979875
-,-,-,-,['CORN'],16079.74,77,2016,8635,7344,20763,12098,8296,27626,25255,0.47742555235350626,0.41254507109327165,0.4290237103823256
-,-,-,-,['CORN'],16552.109999999997,78,2016,8014,8178,10665,12863,10103,27392,25023,0.13198535265085176,0.1419240858718347,0.02706086286594761
-,-,-,-,['CORN'],21043.110000000008,101,2016,7976,8135,10646,12998,10102,27314,25001,0.1336989510675683,0.14337879926968103,0.02621939464044727
-,-,-,-,['CORN'],24874.070000000007,109,2016,7948,8052,10389,12192,9738,27228,24875,0.12672848544005205,0.13311883077929867,0.0323446117156059
-,-,-,-,['SOYBEANS'],6561.679999999997,101,2016,7927,7783,12338,11712,8860,27159,24896,0.22638039858853934,0.21766592647421662,0.16407208227191244
-,-,-,-,['CORN'],20963.329999999998,100,2016,7845,7975,10261,12837,10043,27280,24959,0.12535643781531036,0.1334364299127361,0.010736800630417652
-,-,-,-,['CORN'],22549.950000000004,93,2016,8735,8057,18350,14282,9833,27302,25012,0.3897830120801303,0.35499353885914714,0.3022034559841039
-,-,-,-,['SOYBEANS'],7040.200000000001,107,2016,8475,7013,23322,12378,8210,27088,24825,0.5376298005604088,0.46693084253231437,0.47925916529240137
-,-,-,-,['SOYBEANS'],3623.3500000000004,67,2016,8941,8967,14602,14493,11078,27761,25405,0.2390852390852391,0.24045363802404113,0.13722741433021807
-,-,-,-,['CORN'],15763.420000000002,65,2016,7853,7982,10243,12890,10065,27298,24961,0.12406035665294925,0.1320733863837312,0.0087650187118377
-,-,-,-,['CORN'],21928.27999999999,101,2016,7861,7943,10631,12723,9751,27076,24773,0.14471842360288575,0.1497945057322085,0.043175350799725246
-,-,-,-,['CORN'],28554.620000000003,117,2016,8005,8116,11095,12268,9555,27127,24870,0.15506740929675705,0.16178010471204188,0.07457627118644068
-,-,-,-,['CORN'],14334.350000000002,78,2016,8305,7011,22042,12431,8352,28183,25658,0.5173648160258837,0.4526641842686262,0.4504178456274265
-,-,-,-,['CORN'],19720.800000000003,115,2016,8804,7399,21300,12367,8354,27607,25271,0.4843722777797136,0.41509433962264153,0.43656842247251637
-,-,-,-,['CORN'],16306.960000000005,82,2016,8009,8083,11920,12833,9654,27301,24960,0.1918212268159776,0.1962466756987305,0.10503383702604988
-,-,-,-,['CORN'],19260.829999999998,104,2016,8737,7326,21450,12310,8297,27586,25251,0.4908256880733945,0.4211415509987743,0.4421622348472115
-,-,-,-,['CORN'],17930.61,84,2016,8477,7198,20562,12242,8323,27575,25162,0.4814121037463977,0.4161644684734323,0.42371473082915007
-,-,-,-,['SOYBEANS'],6850.976999999998,118,2016,8314,6933,24347,12767,8366,27276,24962,0.5567135549872123,0.4908912770582652,0.48852138293644726
-,-,-,-,['CORN'],23465.01000000001,105,2016,8426,7071,21574,12181,8232,27566,25152,0.5063012742188864,0.4382666666666667,0.44762799436355094
-,-,-,-,['CORN'],18448.08000000001,99,2016,8472,7188,21358,12322,8313,27591,25224,0.49639178869193584,0.43198122695273217,0.43965488187118734
-,-,-,-,['CORN'],18429.039999999997,117,2016,8913,7754,19705,12259,8500,27501,25123,0.43523070760042243,0.37710531833112027,0.3972699875908527
-,-,-,-,['CORN'],21426.050000000017,95,2016,8538,7354,20143,12202,8363,27706,25305,0.4651052842128232,0.4046232697604686,0.4132463341051007
-,-,-,-,['SOYBEANS'],4301.019999999999,67,2016,8557,7323,22698,12690,8537,27900,25392,0.5121415009493354,0.452439609662454,0.45336961741635984
-,-,-,-,['SOYBEANS'],5205.249999999999,89,2016,8166,7996,12700,12104,9194,27395,25153,0.22729029764205644,0.21729128726157385,0.16013519685758656
-,-,-,-,['SOYBEANS'],4744.3499999999985,77,2016,8485,7599,19331,12542,8868,27561,25159,0.4356479762346825,0.38991947080816797,0.3710415262952587
